idcountry,anzsco_4digit,anzsco_title,runup_from_2019,runup_from_2020
ACT,6311,Checkout Operators and Office Cashiers,0.44183260942188607,0.7519879922712834
ACT,6391,Models and Sales Demonstrators,0.5946460530896265,0.513106846913955
ACT,6392,Retail and Wool Buyers,0.22314355131420976,0.22314355131420976
ACT,6393,Telemarketers,0.714966665957157,0.7448188804437965
ACT,6394,Ticket Salespersons,0.11778361898969258,0.3409275453040663
ACT,6395,Visual Merchandisers,0.009949932833366537,0.6261368278128734
ACT,6399,Other Sales Support Workers,-1.700836419023015,0.3315759482490874
ACT,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",0,-0.08004193844247137
ACT,7112,Industrial Spraypainters,0.26826418051840517,0.16400325832370144
ACT,7113,Paper and Wood Processing Machine Operators,-0.07410874138478699,-0.07410731281233801
ACT,7114,Photographic Developers and Printers,0,0
ACT,7115,Plastics and Rubber Production Machine Operators,0.05264323452466371,-0.050011433708135766
ACT,7116,Sewing Machinists,0.06453793780367886,0.06453727113678986
ACT,7117,Textile and Footwear Production Machine Operators,-0.13353148191029676,-0.02353028146317271
ACT,7119,Other Machine Operators,0.29065381316734773,0.17463593236415775
ACT,7121,"Crane, Hoist and Lift Operators",0.0310902777252251,0.35086033520914484
ACT,7122,"Drillers, Miners and Shot Firers",-0.07480214197268276,0.49159387348851324
ACT,7123,Engineering Production Workers,0.20067024091659336,0.36101310838310074
ACT,7129,Other Stationary Plant Operators,0.42956303715553634,0.46683332512934206
ACT,7211,"Agricultural, Forestry and Horticultural Plant Operators",0.3513984131538166,0.6102606571184597
ACT,7212,Earthmoving Plant Operators,0.046600425997175066,0.17058629743894027
ACT,7213,Forklift Drivers,-0.23074801375749177,0.15372678752636526
ACT,7219,Other Mobile Plant Operators,0,0.19415649063154694
ACT,7311,Automobile Drivers,0.33451309816331476,0.14763611244243469
ACT,7312,Bus and Coach Drivers,0.47142340230226687,0.6180261049632517
ACT,7313,Train and Tram Drivers,0.06453922947159813,0.04255920680992861
ACT,7321,Delivery Drivers,0.4769907409784966,0.48670895100713985
ACT,7331,Truck Drivers,0.1523900242067886,0.3750476372213227
ACT,7411,Storepersons,0.3649946730960907,0.7491690643245064
ACT,8111,Car Detailers,0.20810582320341164,0.5415972824327443
ACT,8112,Commercial Cleaners,0.6211736660094829,0.507101246924357
ACT,8113,Domestic Cleaners,0.44839036843776436,0.5596161660867228
ACT,8114,Housekeepers,0.7774249367736563,1.1049715944252343
ACT,8115,Laundry Workers,0.5016933236889399,0.7023634635956899
ACT,8116,Other Cleaners,0.5164435592587632,0.5164431367237007
ACT,8211,Building and Plumbing Labourers,0.4718572140644044,0.5610637714714266
ACT,8212,Concreters,0.18751635229800412,-0.07002835580599931
ACT,8213,Fencers,0.627549845612493,0.4666190090447204
ACT,8214,Insulation and Home Improvement Installers,0.5296139130910964,0.13570916427256785
ACT,8215,Paving and Surfacing Labourers,-0.26826475582574444,-0.4635736694368197
ACT,8216,Railway Track Workers,0,-0.08004193844247137
ACT,8217,Structural Steel Construction Workers,-0.1633249997621533,-0.14953160628277318
ACT,8219,Other Construction and Mining Labourers,6.250005860075625e-7,0.08701052471673304
ACT,8311,Food and Drink Factory Workers,0.035091523013401404,0.017391579372386945
ACT,8312,"Meat Boners and Slicers, and Slaughterers",0,0
ACT,8313,"Meat, Poultry and Seafood Process Workers",-0.07410731281233801,-0.1431016128717384
ACT,8321,Packers,0.23767154868767104,0.6931479497907146
ACT,8322,Product Assemblers,0.6131044728864087,0.7651203816776163
ACT,8391,Metal Engineering Process Workers,-0.15414925125480938,0
ACT,8392,Plastics and Rubber Factory Workers,0,0
ACT,8393,Product Quality Controllers,0.31315796773995963,0.5417847062923502
ACT,8394,Timber and Wood Process Workers,0.26028461853319196,0.15763141371574052
ACT,8399,Other Factory Process Workers,0.03409421521806921,0.1439607062219248
ACT,8411,Aquaculture Workers,0,0
ACT,8412,Crop Farm Workers,0.05000997029278775,-0.09309097591206164
ACT,8413,Forestry and Logging Workers,0.5108251237658656,0.2231430513140848
ACT,8414,Garden and Nursery Labourers,0.45736705276359113,0.8291589503011374
ACT,8415,Livestock Farm Workers,0.4480249399182883,0.40546635810894566
ACT,8416,Mixed Crop and Livestock Farm Workers,0.14058216404531165,-0.16579241877718365
ACT,8419,"Other Farm, Forestry and Garden Workers",0.4379000471768545,0.15296964019199355
ACT,8511,Fast Food Cooks,0.5232482595052097,0.14595565336404626
ACT,8512,Food Trades Assistants,-0.3617915281220271,-1.0638267648225932
ACT,8513,Kitchenhands,0.6484596245459353,1.1017155108649637
ACT,8911,Freight and Furniture Handlers,0.09149195267552179,0.2327519446209152
ACT,8912,Shelf Fillers,1.120591195386885,0.6645740898060699
ACT,8991,Caretakers,0.48356681204712415,0.8559710117783864
ACT,8992,Deck and Fishing Hands,0.15414925125480938,0.15414925125480938
ACT,8993,Handypersons,0.5629185562188437,0.5297892541976279
ACT,8994,Motor Vehicle Parts and Accessories Fitters,0.2990847962927161,0.46864422712102394
ACT,8995,Printing Assistants and Table Workers,-0.21985911373153155,0.06782295872024935
ACT,8996,Recycling and Rubbish Collectors,0.30830176781769864,0.1782483956670915
ACT,8997,Vending Machine Attendants,0.10535951565732633,0.02531757721485496
ACT,8999,Other Miscellaneous Labourers,-0.025611173840885293,0.2244569504972418
NSW,1111,Chief Executives and Managing Directors,0.17105866520041157,0.3015358260085197
