sample,control_set,n_obs,exposure,control,coef,p
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,ai_product_exposure_score,runup_from_2019_mix,-0.6300490646363126,0.0019501163781377611
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,felten_exposure_score,rate_sens_rba,0.05278189019418321,0.32331825501593503
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,felten_exposure_score,runup_from_2019_mix,-0.5608259666246631,0.0030032655948788608
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,webb_exposure_score,rate_sens_rba,-0.03488192792859976,0.45594225687565426
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,webb_exposure_score,runup_from_2019_mix,-0.859118632654479,5.884684766724946e-4
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,beta_eloundou,rate_sens_rba,0.1022657132073635,0.06321259537400926
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,beta_eloundou,runup_from_2019_mix,-0.5710320407731015,0.0023202859446593304
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,anthropic_usage_score,rate_sens_rba,0.001152861041123207,0.9809785545948246
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,anthropic_usage_score,runup_from_2019_mix,-0.6769914036735319,0.001847243003816839
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,(controls only),wfh_teleworkable,-0.13749503146457137,0.0019254201876997233
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,(controls only),rate_sens_rba,0.06434851975108827,0.278628356607312
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,(controls only),runup_from_2019_mix,-0.7177642269711496,0.0017602529883276447
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,ai_product_exposure_score,wfh_teleworkable,-0.1132131993033631,0.004417594513819756
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,ai_product_exposure_score,rate_sens_rba,0.09268240554334868,0.1471153369067557
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,ai_product_exposure_score,runup_from_2019_mix,-0.6385308898615444,0.004350543050685732
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,felten_exposure_score,wfh_teleworkable,0.014819784923819258,0.7440599372807117
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,felten_exposure_score,rate_sens_rba,0.048186666174713,0.41467858853297535
