anzsco_4digit,anzsco_title,rs_surprise_h6,rs_surprise_h12,rs_surprise_h18,rs_placebo_h6,rs_placebo_h12,rs_placebo_h18,rs_broad_h6,rs_broad_h12,rs_broad_h18,rate_sens_rba,rate_sens_rba_broad
2245,Land Economists and Valuers,0.6530807850132264,0.8745744736959743,0.663116713196943,0.674056307164618,0.8902369433615742,0.6174698223945736,0.39515716185730076,0.7754628303797784,0.49141088419320683,0.8745744736959743,0.7754628303797784
2246,Librarians,0.6730973479626747,0.8351243714134003,0.7412219921571501,0.7464183410552115,0.9250781367978319,0.7544061034590929,0.3711070562214665,0.7198243856142117,0.4497142296045193,0.8351243714134003,0.7198243856142117
2247,Management and Organisation Analysts,0.7075844367905703,0.9027482163019399,0.8373034351440496,0.7175889830833728,0.9343172036669621,0.683084963370961,0.3662254436351465,0.7216204539402958,0.478279720630985,0.9027482163019399,0.7216204539402958
2249,Other Information and Organisation Professionals,0.7416773774119719,0.940591447868244,0.870965576580379,0.7423948707909493,0.9228698124442902,0.6999079806178499,0.377417400740234,0.7498272389549467,0.47916148976240197,0.940591447868244,0.7498272389549467
2251,Advertising and Marketing Professionals,0.7023617594290376,0.8553385106865579,0.8033745623792566,0.7526299033918652,0.9428693142374981,0.7255273584001856,0.3596343026444447,0.7253765782214434,0.4846491952643558,0.8553385106865579,0.7253765782214434
2252,ICT Sales Professionals,0.7082412247849968,0.8865080840385509,0.7717226194626592,0.729682114394686,0.9049687900628085,0.7292575080233531,0.31842614652253737,0.7271194994388742,0.5204373546502906,0.8865080840385509,0.7271194994388742
2253,Public Relations Professionals,0.6937257735296507,0.9028790261147239,0.8108070874301718,0.7239271504590792,0.9361382538962048,0.7021709398148299,0.35531800476107944,0.7177177498973267,0.47195759817212335,0.9028790261147239,0.7177177498973267
2254,Technical Sales Representatives,0.643441465068507,0.8190190168397611,0.7346510736647222,0.732320226173405,0.9650617164197031,0.6763129955212225,0.35566884274800803,0.6757390201107809,0.4280284443812974,0.8190190168397611,0.6757390201107809
2311,Air Transport Professionals,0.6625709583396875,0.7844367214537465,0.757250922327422,0.6922054136352976,0.9356670704553233,0.7016268261306297,0.3768023245616619,0.7428400511335941,0.45877815507626407,0.7844367214537465,0.7428400511335941
2312,Marine Transport Professionals,0.634804018445379,0.8229313970192249,0.751285356842481,0.730817600390107,0.9256128212182306,0.7195724191176625,0.3854004383149192,0.7337581892887989,0.4281770571278968,0.8229313970192249,0.7337581892887989
2321,Architects and Landscape Architects,0.6935145409404958,0.8467922141766938,0.8203424478579706,0.7111512794895813,0.9012701828041765,0.6992068421866722,0.28140344366224196,0.626993433186711,0.3644633389151512,0.8467922141766938,0.626993433186711
2322,Surveyors and Spatial Scientists,0.6816948791099563,0.7898907051443927,0.8039399892194439,0.7254207415979012,0.8884621201751012,0.6319236522425788,0.2919860798909936,0.630773323542361,0.3648758102510713,0.7898907051443927,0.630773323542361
2323,"Fashion, Industrial and Jewellery Designers",0.7172830619059458,0.924231593470833,0.8119605646600196,0.7081844196720471,0.932959844270882,0.678339554518577,0.3579083594774462,0.7358799562645144,0.490128435863384,0.924231593470833,0.7358799562645144
2324,"Graphic and Web Designers, and Illustrators",0.6793033877523448,0.8464613842382361,0.7716382198587282,0.732205254149203,0.9345171165570234,0.6970872737086614,0.3635716168346006,0.7364667169479342,0.48121533885072415,0.8464613842382361,0.7364667169479342
2325,Interior Designers,0.6660118523537581,0.7228994503364673,0.7071008709731286,0.755469779940128,0.9244683120102678,0.714553001093914,0.24139659917520256,0.5827048117114623,0.40435239141396684,0.7228994503364673,0.5827048117114623
2326,Urban and Regional Planners,0.723455929884348,0.8488783529589307,0.8513744684629176,0.7602463663749325,0.9215084538914379,0.6826103730198012,0.3165552966921047,0.6320651641747654,0.3686588264966749,0.8488783529589307,0.6320651641747654
2331,Chemical and Materials Engineers,0.6559220785636948,0.7086729137642165,0.8260549844105529,0.7037503987329163,0.8838108703697257,0.6209689673810188,0.323125618137029,0.6463128505181254,0.4332717883319725,0.7086729137642165,0.6463128505181254
2332,Civil Engineering Professionals,0.7000951919126522,0.875343832253967,0.8430192699164397,0.73360402937375635,0.9274935915780277,0.6903511434247273,0.3192388648644247,0.6242477918385927,0.36265927874502674,0.875343832253967,0.6242477918385927
2333,Electrical Engineers,0.7494266030723202,0.9924490357962216,0.9056803627758925,0.6965830977300008,0.9025357640072431,0.6921545830126405,0.33354354917543,0.6276889715644077,0.3552820414962965,0.9924490357962216,0.6276889715644077
2334,Electronics Engineers,0.6262328409357419,0.7732065456839499,0.7346400593184763,0.7104854821981021,0.9431166570676893,0.6871989754467821,0.3397970430709978,0.6420681338205178,0.40199632199332236,0.7732065456839499,0.6420681338205178
