sample,control_set,n_obs,n_occ,exposure,baseline,baseline_p,with_controls,with_controls_p,pct_attenuation
aus_l3,runup_from_2020,1197,264,webb_exposure_score,0.07223890827473659,0.1635644959761729,-0.00980962032541463,0.8356761991404908,113.57941386393466
aus_l3,runup_from_2020,1197,264,beta_eloundou,-0.017983876228009305,0.705814779171289,-0.03655440931883201,0.4688994008334534,-103.26212689286476
aus_l3,runup_from_2020,1197,264,anthropic_usage_score,-0.35683832986468705,2.2517196919968245e-5,-0.4135844865246108,9.26197340784325e-6,-15.902483536855993
aus_l3,wfh_teleworkable + rate_sens_rba,1197,264,ai_product_exposure_score,-0.1520805768249148,4.7084285410511456e-4,-0.17850038423383693,2.326370231087729e-6,-17.372243030967958
aus_l3,wfh_teleworkable + rate_sens_rba,1197,264,felten_exposure_score,0.11719710723157366,0.03581190902075029,0.35589203507879674,2.952069768236001e-4,-203.66964124428245
aus_l3,wfh_teleworkable + rate_sens_rba,1197,264,webb_exposure_score,0.07223890827473659,0.1635644959761729,0.07482282862134333,0.1240093947293965,-3.5769094637749355
aus_l3,wfh_teleworkable + rate_sens_rba,1197,264,beta_eloundou,-0.017983876228009305,0.705814779171289,-0.01843148825677307,0.5768264148708856,-2.4889630193663415
aus_l3,wfh_teleworkable + rate_sens_rba,1197,264,anthropic_usage_score,-0.35683832986468705,2.2517196919968245e-5,-0.41125745843682027,3.894622666017637e-6,-15.250359621616028
aus_l3,wfh_teleworkable + runup_from_2019,1197,264,ai_product_exposure_score,-0.1520805768249148,4.7084285410511456e-4,-0.2026941806971833,3.614755611139803e-6,-33.28078110233514
aus_l3,wfh_teleworkable + runup_from_2019,1197,264,felten_exposure_score,0.11719710723157366,0.03581190902075029,0.3116399486083318,4.0988229336171814e-4,-165.9109563110223
aus_l3,wfh_teleworkable + runup_from_2019,1197,264,webb_exposure_score,0.07223890827473659,0.1635644959761729,0.028754995272229918,0.43547854632194083,60.19458771044839
aus_l3,wfh_teleworkable + runup_from_2019,1197,264,beta_eloundou,-0.017983876228009305,0.705814779171289,-0.07776960625194415,0.03383946621441155,-332.44073338772483
aus_l3,wfh_teleworkable + runup_from_2019,1197,264,anthropic_usage_score,-0.35683832986468705,2.2517196919968245e-5,-0.43628711344325094,8.609749281766127e-6,-22.264643937967875
aus_l3,rate_sens_rba + runup_from_2019,1197,264,ai_product_exposure_score,-0.1520805768249148,4.7084285410511456e-4,-0.20660098998800727,8.049259221152449e-5,-35.84968856730466
aus_l3,rate_sens_rba + runup_from_2019,1197,264,felten_exposure_score,0.11719710723157366,0.03581190902075029,0.05632969871784531,0.2191875216457536,51.935930801993614
aus_l3,rate_sens_rba + runup_from_2019,1197,264,webb_exposure_score,0.07223890827473659,0.1635644959761729,0.019484053556603174,0.6308204690850381,73.02831116646713
aus_l3,rate_sens_rba + runup_from_2019,1197,264,beta_eloundou,-0.017983876228009305,0.705814779171289,-0.11209867307682804,0.04600214306488377,-523.3287621399328
aus_l3,rate_sens_rba + runup_from_2019,1197,264,anthropic_usage_score,-0.35683832986468705,2.2517196919968245e-5,-0.4341754492172514,1.8024343027382648e-5,-21.67287336589949
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,264,ai_product_exposure_score,-0.1520805768249148,4.7084285410511456e-4,-0.19844540270586014,4.404131048573304e-6,-30.487013429942202
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,264,felten_exposure_score,0.11719710723157366,0.03581190902075029,0.306241043805486,4.7408638639147174e-4,-161.30426854339856
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,264,webb_exposure_score,0.07223890827473659,0.1635644959761729,0.025944357409420096,0.49131829257536064,64.08534122532778
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,264,beta_eloundou,-0.017983876228009305,0.705814779171289,-0.09116731175728776,0.025423807137805024,-406.93916373433234
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,264,anthropic_usage_score,-0.35683832986468705,2.2517196919968245e-5,-0.43944355142703534,9.135680604605468e-6,-23.149200814181636
aus_l4,rate_sens_rba,1197,264,ai_product_exposure_score,-0.1442796254420628,0.0017333483586377658,-0.1434664441090009,0.001226310753506701,0.5636148074063652
aus_l4,rate_sens_rba,1197,264,felten_exposure_score,0.11772487579824242,0.04497135526619427,0.12017497967902241,0.039293790731230294,-2.0812116930825963
aus_l4,rate_sens_rba,1197,264,webb_exposure_score,0.08400134706850815,0.07448477556908632,0.08495340157049162,0.07782242053354707,-1.1333800411641226
aus_l4,rate_sens_rba,1197,264,beta_eloundou,-0.025991031341958567,0.589970327466188,-0.024936626812089652,0.5965925783184336,4.0568014250621065
aus_l4,rate_sens_rba,1197,264,anthropic_usage_score,-0.4007819026213527,1.1817531943277669e-5,-0.39995854013349275,1.2166123717925043e-5,0.20543903865785085
aus_l4,rate_sens_rba_broad,1189,263,ai_product_exposure_score,-0.1499170237918931,0.0015830992536076448,-0.1379458535768624,0.003491016757351747,7.985197352669193
aus_l4,rate_sens_rba_broad,1189,263,felten_exposure_score,0.11440228074771842,0.05017201659095825,0.14089358383605324,0.03397900436820505,-23.15627181135822
aus_l4,rate_sens_rba_broad,1189,263,webb_exposure_score,0.08027556541958873,0.08663408438771662,0.13621971231132488,0.023094000375436827,-69.69013123647801
aus_l4,rate_sens_rba_broad,1189,263,beta_eloundou,-0.03161658518217728,0.5193136618831419,0.001729354586665767,0.97531618304085,105.46977030157143
aus_l4,rate_sens_rba_broad,1189,263,anthropic_usage_score,-0.4044562368708455,9.876612399570409e-6,-0.38514156232319435,2.8241634317744092e-5,4.775467105435894
aus_l4,wfh_teleworkable,1176,258,ai_product_exposure_score,-0.13031591620940935,0.006383589414873741,-0.16431000598748266,0.0010069631501652006,-26.085907820689357
aus_l4,wfh_teleworkable,1176,258,felten_exposure_score,0.09047278683911138,0.09881573424703786,0.21767821722913194,0.0064594652042573005,-140.60076497503186
aus_l4,wfh_teleworkable,1176,258,webb_exposure_score,0.08320736749353708,0.07719503289588811,0.08249570233710632,0.06109119050618362,0.8552910371621092
aus_l4,wfh_teleworkable,1176,258,beta_eloundou,-0.044751587051502416,0.3628664394676669,-0.13061166121990833,0.007848002898451415,-191.85928326875592
aus_l4,wfh_teleworkable,1176,258,anthropic_usage_score,-0.4005336641865954,1.1666560064218362e-5,-0.4585197166568147,1.852631070515132e-5,-14.477198212034793
aus_l4,runup_from_2019,1197,264,ai_product_exposure_score,-0.1442796254420628,0.0017333483586377658,-0.208071139849438,9.129077637516518e-5,-44.213806496878824
aus_l4,runup_from_2019,1197,264,felten_exposure_score,0.11772487579824242,0.04497135526619427,0.052172472169868325,0.26575307887530447,55.682712072441
aus_l4,runup_from_2019,1197,264,webb_exposure_score,0.08400134706850815,0.07448477556908632,0.05825525071022149,0.13466801379845414,30.649623198648435
aus_l4,runup_from_2019,1197,264,beta_eloundou,-0.025991031341958567,0.589970327466188,-0.12496594092773562,0.024385776628172075,-380.8040869313143
aus_l4,runup_from_2019,1197,264,anthropic_usage_score,-0.4007819026213527,1.1817531943277669e-5,-0.49749185881172653,1.6782267160083755e-5,-24.13032014615255
aus_l4,runup_from_2020,1197,264,ai_product_exposure_score,-0.1442796254420628,0.0017333483586377658,-0.12560484203759512,0.007760277795196162,12.943465404245014
aus_l4,runup_from_2020,1197,264,felten_exposure_score,0.11772487579824242,0.04497135526619427,0.08905838667124646,0.07462910380484872,24.35040931886372
aus_l4,runup_from_2020,1197,264,webb_exposure_score,0.08400134706850815,0.07448477556908632,0.03354466184359925,0.390491930542031,60.06651915207792
aus_l4,runup_from_2020,1197,264,beta_eloundou,-0.025991031341958567,0.589970327466188,-0.045214978358356604,0.3487392846545181,-73.96377143897286
aus_l4,runup_from_2020,1197,264,anthropic_usage_score,-0.4007819026213527,1.1817531943277669e-5,-0.4737997754082293,1.0283616095686493e-5,-18.2188547709605
aus_l4,wfh_teleworkable + rate_sens_rba,1176,258,ai_product_exposure_score,-0.13031591620940935,0.006383589414873741,-0.16362739235309076,0.0012555402950662465,-25.562093344110014
aus_l4,wfh_teleworkable + rate_sens_rba,1176,258,felten_exposure_score,0.09047278683911138,0.09881573424703786,0.21579674666668788,0.007018531263207193,-138.52116664698445
aus_l4,wfh_teleworkable + rate_sens_rba,1176,258,webb_exposure_score,0.08320736749353708,0.07719503289588811,0.08235899306863602,0.06455888148519863,1.0195905127835636
aus_l4,wfh_teleworkable + rate_sens_rba,1176,258,beta_eloundou,-0.044751587051502416,0.3628664394676669,-0.13598147853083625,0.00748131139529384,-203.85844947653325
