idcountry,isco_level_2,covered_share,runup_from_2019,runup_from_2020,runup_from_2019_vac,runup_from_2019_mix,runup_from_2019_pooled
CY,32,1,-0.057032679285169335,-0.058245524754124686,-0.020949376202622296,0.18294452468871572,0.173028653055236
CY,33,1,0.3369197584484001,0.5430347705146326,0.48359768700518907,0.2638838500260783,0.24331163690461108
CY,34,1,0.09277842478849405,0.6291493473193047,0.23363607730590535,0.19241369023522265,0.1917560116138421
CY,35,1,0.3746934494414107,0.2231435513142097,0.629509154755624,0.26319105244348484,0.25033411023201657
CY,41,1,0.26394149283734925,0.4043655571897102,0.4325980480992546,0.23503520667063815,0.22007888890575802
CY,42,1,0.28317074723937374,0.61005293776012,0.4224452875081081,0.2526570119294332,0.2562536313099383
CY,43,1,0.2917623190702117,0.5569351623313479,0.42712146556670866,0.25134180090953134,0.23458491600751655
CY,44,1,1.16141318990714,1.6094379124341003,1.2942378110884265,0.22825865198098017,0.22342473279847286
CY,51,1,0.48247313588761914,0.7493423609368981,0.608617992853516,0.24318708163068276,0.238314812334843
CY,52,1,0.11857740764600645,0.4990068041483791,0.2118407861537984,0.22546143460173448,0.22638151495911119
CY,53,1,0.18175623210993608,-0.10971311763602726,0.3036535337470841,0.18488358691902834,0.168589853474218
CY,54,0.9120879120879121,0.5170169550822303,0.24461375046169098,0.7642806965304916,0.17736072233371364,0.2271638342216441
CY,71,1,-0.4196905528869906,-0.4732148608740495,-0.20459165092806153,0.1993319771324083,0.20087113518437769
CY,72,1,0.07446676091561019,0.3079218541687844,0.18514212768469315,0.21759626980995425,0.2167728606257869
CY,73,1,-0.049596941139372186,0.017094433359300165,0.07277749668212419,0.22072107126613294,0.21952040503363573
CY,74,0.9012345679012346,-0.28110685682294134,-0.21956450409670233,-0.08076438322885288,0.21312058788669364,0.21619110908262257
CY,75,1,0.0010096142987117093,0.2094492623124123,0.11002121262879871,0.22046864458835894,0.21738428807614973
CY,81,1,-0.049596941139372186,0.017094433359300165,0.07277749668212419,0.22072107126613294,0.21652054400345797
CY,83,1,0.39700463879713527,0.6813020506349873,0.5288617727810068,0.22146783917289597,0.20902411239158486
CY,91,1,0.11984848277537746,0.5705229107239266,0.2585049017500876,0.19390703184938907,0.2330230761849543
CY,93,1,-0.12037586492394957,-0.014515993100940438,0.03822030513158907,0.2112890980906739,0.2150336288425011
CY,94,1,0.8292793548845252,0.9049911766202217,0.9580614958878719,0.30332234176825773,0.2731603358466676
CY,96,1,0.5834015741872898,0.6656507363157999,0.7469570509325499,0.23441125294458787,0.22864745822534405
CZ,11,1,-0.27776815794688153,-0.11778870560349507,-0.29271401141846737,0.2309036020342569,0.22205715776995835
CZ,12,1,-0.25844217169909267,-0.10313963305992827,-0.27218077344784825,0.22889339400585312,0.24446408178875306
CZ,13,1,-0.214826317729496,-0.04280469652649358,-0.22159635300462788,0.20845921894851108,0.2130208675503039
CZ,14,1,-0.26037056446356127,-0.11543314793628366,-0.3016262309128196,0.25062188135735547,0.25317490005446597
CZ,21,1,-0.3551241382114441,-0.17244102084549554,-0.36487639040226216,0.24257129534090832,0.25205294245025983
CZ,22,1,-0.35143175733609455,0.01204634235708549,-0.3143095702329483,0.17208457315738446,0.1721416170252814
CZ,23,1,-0.38581265774792173,-0.2627639544276094,-0.2778098014273727,0.22079038087473554,0.21847032587873527
CZ,24,1,-0.3324305490038172,-0.13619310548227465,-0.32674528807087744,0.26182925990989625,0.2514016893047965
CZ,25,1,-0.07187132575617976,-0.011898917748286848,-5.08067237932464e-4,0.25569476309444794,0.2598746776979377
CZ,26,1,-0.397704988153595,-0.193926048357659,-0.3854547157831263,0.23497192261994926,0.2152636121063766
CZ,31,1,-0.19949510895234773,-0.03753594373464365,-0.23059090435693388,0.21320935800565008,0.2276955086746763
CZ,32,1,-0.3252031283101757,0.025256641282432886,-0.29828252154983254,0.17086745271747425,0.173028653055236
CZ,33,1,-0.3037902430240793,-0.1109342528258849,-0.3081344546060174,0.23377361671108057,0.24331163690461108
CZ,34,1,-0.3596320299312956,-0.14850407114085204,-0.36539545331806744,0.2128983509423316,0.1917560116138421
CZ,35,1,-0.09098416435189494,-0.006190444079001902,-0.04285982106824576,0.24621580061379228,0.25033411023201657
CZ,41,1,-0.28656846176366846,-0.11279505955239061,-0.3014056901704482,0.222877939024638,0.22007888890575802
CZ,42,1,-0.20142013653259064,-0.06736136938263929,-0.25276296990190145,0.2545701473937589,0.2562536313099383
CZ,43,1,-0.20865495894360328,-0.059119971888975026,-0.24051681884485918,0.22486267975831908,0.23458491600751655
CZ,44,1,-0.11445092950035574,0.006079615912118066,-0.16462015241513112,0.2012101706344267,0.22342473279847286
CZ,51,1,-0.20411785205118976,-0.07351588556188564,-0.25474917256657276,0.22544892424574944,0.238314812334843
CZ,52,1,-0.2559111875046703,-0.09771128536418444,-0.2567963162428878,0.22187527066861268,0.22638151495911119
CZ,53,1,-0.3078183139200747,-0.03830549243805455,-0.27902676487311096,0.16836912382584027,0.168589853474218
CZ,54,1,-0.28910332339566547,-0.12861470808987843,-0.34005531784921056,0.21489371630629855,0.2271638342216441
CZ,61,1,-0.24030643554945874,-0.3114570582539645,-0.364348396637322,-0.11450577744893264,-0.13423809506910198
CZ,62,1,-0.2297636564038159,-0.34330178772687425,-0.3491292746500765,-0.19415601444095743,-0.1902438371621748
CZ,71,1,-0.2906033074304596,-0.17644405909764121,-0.2622701148499977,0.20161309402370914,0.20087113518437769
CZ,72,1,-0.11036559162805078,0.06746921058457174,-0.1668442368250538,0.20929836637682991,0.2167728606257869
CZ,73,1,-0.06995619531363888,0.11759444930431573,-0.12812718929829053,0.21928698487463485,0.21952040503363573
CZ,74,1,-0.17258637657162984,-0.044650580988902816,-0.18130297044908514,0.22192759707211282,0.21619110908262257
CZ,75,1,-0.11271833072072576,0.08671739272952508,-0.16780107056067015,0.21676427732025863,0.21738428807614973
CZ,81,1,-0.1084621149295354,0.09659974770818137,-0.1754895706178314,0.22194640060614654,0.21652054400345797
CZ,82,1,-0.08092278795851211,0.12277137034472216,-0.14611113728620306,0.2194818502782392,0.21989440056919204
CZ,83,1,-0.0788406811883745,0.024032489691275784,-0.14421950926712715,0.19173160494074304,0.20902411239158486
CZ,91,1,-0.29069774943024906,-0.12822790412598675,-0.33574147154277006,0.23285844734253933,0.2330230761849543
CZ,92,1,-0.2527460154784364,-0.3306441109398101,-0.3925005852065911,-0.09839210760787258,-0.12237825031757464
CZ,93,1,-0.12185669376469405,0.0663057577945709,-0.16866119049381442,0.217383365678984,0.2150336288425011
CZ,94,1,-0.18231791704859815,-0.0623809754070661,-0.24028548112968545,0.23619315326247722,0.2731603358466676
CZ,96,1,-0.15918001164987972,0.01588399698091188,-0.1843597914078472,0.23846998190707547,0.22864745822534405
DE,11,1,0.3093182375272838,0.634822789394934,0.3044879289916042,0.23155849822648825,0.22205715776995835
DE,12,1,0.3260388720382527,0.6627839558328112,0.3194501169247166,0.22989350132741268,0.24446408178875306
DE,13,1,0.32376813102020646,0.580646390801913,0.3407799576401563,0.21588212518440442,0.2130208675503039
DE,14,1,0.471935059636857,0.9038662052049423,0.37311326617670804,0.27862341288892956,0.25317490005446597
DE,21,1,0.3329162521976549,0.6764428557391332,0.33756328190908,0.247759251726185,0.25205294245025983
DE,22,1,0.373632223494108,0.4358431964678382,0.4618517625234717,0.17279740816966432,0.1721416170252814
DE,23,1,0.34372290245811704,0.4794347293042951,0.3969545431439258,0.21453170108690656,0.21847032587873527
DE,24,1,0.30510136904657476,0.57243469635566,0.32058034977671557,0.24739699283842292,0.2514016893047965
DE,25,1,0.3094449634141406,0.5648788237350854,0.34259998537918274,0.25674465078664693,0.2598746776979377
DE,26,1,0.35508182854656134,0.5749293003904274,0.4142617708322492,0.19875153457834843,0.2152636121063766
DE,31,1,0.33463904691607277,0.6811858095383273,0.3307461814470561,0.22657899985923527,0.2276955086746763
DE,32,1,0.3766686623598654,0.4529172871136513,0.46238592731133166,0.16950461156857233,0.173028653055236
DE,33,1,0.2941265917038556,0.5119618013618205,0.3119722563837614,0.24293875146730123,0.24331163690461108
DE,34,1,0.3598528467950103,0.5745012847541914,0.4206978494190068,0.18083329490860378,0.1917560116138421
DE,35,1,0.31583844542576606,0.6070105467858414,0.3429594403843853,0.24748729872623704,0.25033411023201657
DE,41,1,0.2969868769974623,0.5335307005790854,0.3226753219835407,0.21966388501593873,0.22007888890575802
DE,42,1,0.2622108741551387,0.2806107205101754,0.2716527823650144,0.303887550782485,0.2562536313099383
DE,43,1,0.28772571671631936,0.6435353126297237,0.26840222602096436,0.23364455134391063,0.23458491600751655
DE,44,1,0.21566038119546999,0.6156447666426131,0.1920855681906954,0.23752429127127372,0.22342473279847286
DE,51,1,0.42860698309694095,0.8433063968405767,0.3991620259152703,0.2353460183273196,0.238314812334843
DE,52,1,0.2905750377894406,0.5605615563190081,0.25721622632434804,0.22136405097619613,0.22638151495911119
DE,53,1,0.3855351700885011,0.4587078950856828,0.4734720722655857,0.17276354819546733,0.168589853474218
DE,54,1,0.22460916849106363,0.4559234491132725,0.27120617034761146,0.2095503665378387,0.2271638342216441
DE,61,1,0.17760298958983287,0.4391857032020413,0.12024389209080592,0.020589077903890564,-0.13423809506910198
DE,71,1,0.27044154461759923,0.41279245975922213,0.27711136718305246,0.20133398629840926,0.20087113518437769
DE,72,1,0.3660096091137353,0.798175394146329,0.3369459921970746,0.21731579561416944,0.2167728606257869
DE,73,1,0.4054651081081643,0.9044562742271522,0.3699730949254203,0.22072107126613294,0.21952040503363573
DE,74,1,0.3555608466245164,0.6600155775034237,0.3542565733855516,0.2187733196811185,0.21619110908262257
DE,75,1,0.36460242136156146,0.7449280452328334,0.3461542674576728,0.20835330386487427,0.21738428807614973
DE,81,1,0.3922842888611822,0.8566687982568849,0.3620683522620362,0.21550150200604437,0.21652054400345797
DE,82,1,0.38776743194904495,0.8364906022183802,0.3582889091753408,0.21752269069727106,0.21989440056919204
DE,83,1,0.2102220369733019,0.5837832674509935,0.18970324920489534,0.22189759838008546,0.20902411239158486
DE,91,1,0.2586402818965788,0.6663256467681259,0.2579033606529155,0.25801790307228645,0.2330230761849543
DE,92,1,0.18306627643940288,0.4135657520000599,0.11146963616565689,-0.0394050495225933,-0.12237825031757464
DE,93,1,0.29347009349884234,0.6336839682249832,0.27394097268143236,0.2178941470657576,0.2150336288425011
DE,94,1,0.4932008358738361,0.8589264130468011,0.44571839910936706,0.2516237675214829,0.2731603358466676
DE,96,1,0.28010024779080256,0.6189463916373081,0.30863500656974663,0.22053354677293277,0.22864745822534405
DK,11,1,0.5861750610077773,0.5298221244566457,0.6781687899053228,0.3176494368130295,0.22205715776995835
DK,12,0.6153846153846154,0.4972434649515302,0.7193134006643656,0.5801475403359513,0.21234822244478538,0.24446408178875306
DK,14,1,0.700531402864473,0.8579546853675051,0.7587990277295114,0.24121012227767352,0.25317490005446597
DK,21,0.8972286374133949,0.5755761607461811,0.6251564824205261,0.6620329588659934,0.26127291066131225,0.25205294245025983
DK,24,0.6639717028802425,0.5539710492332969,0.6425133131559534,0.6305391531109095,0.24556724566457044,0.2514016893047965
DK,25,0.9170560747663551,0.3544997877053207,0.6582528210298711,0.4642893592793961,0.2555886417096456,0.2598746776979377
DK,31,0.9427934621099554,0.5444374112935518,0.6330007466512343,0.6345464073042505,0.23362516650825357,0.2276955086746763
DK,33,0.782016348773842,0.5701646621488835,0.6720665774293059,0.6401286664399055,0.2400540123121525,0.24331163690461108
DK,35,0.7848970251716247,0.33321259656021324,0.6591466349896296,0.4475327142599081,0.23985983200196268,0.25033411023201657
DK,42,0.696551724137931,0.7117084836813933,0.8109716427355844,0.7872838689698385,0.24791628686120876,0.2562536313099383
DK,43,0.9382978723404255,0.6002296315539328,0.7175043368443769,0.657303227707375,0.2402936740726235,0.23458491600751655
DK,44,0.8299319727891157,0.6243130982432572,0.7612374754954591,0.65706473521732,0.22347836937299806,0.22342473279847286
DK,51,0.6238532110091743,0.9032559895508031,1.0273003812355281,0.9874343388355737,0.24612343120937175,0.238314812334843
DK,52,0.9817204301075269,0.6015149905655378,0.7553860381962519,0.6534080212161687,0.22268149713171698,0.22638151495911119
DK,71,1,0.3389706617082271,0.40072913810464816,0.46687850292520267,0.19579640501677503,0.20087113518437769
DK,72,1,0.596727587960291,0.7310578352866773,0.6651749168584056,0.2193280351309439,0.2167728606257869
DK,73,1,0.6312717768418579,0.7591051483517427,0.7069624567915298,0.22072107126613294,0.21952040503363573
DK,74,1,0.37497153933831756,0.4448680422089564,0.4964481234178872,0.19886621834678492,0.21619110908262257
DK,75,1,0.6062277083902224,0.7455869083602709,0.6702759895041742,0.2204508334602435,0.21738428807614973
DK,81,1,0.6312717768418579,0.7591051483517427,0.7069624567915298,0.22072107126613294,0.21652054400345797
